Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,92.330002,92.949997,91.209999,92.669998,81.482399,2580500
2015-12-02,92.160004,93.000000,90.080002,90.440002,79.521622,3024700
2015-12-03,91.000000,91.279999,88.199997,88.570000,77.877373,2834600
2015-12-04,90.349998,90.669998,88.699997,90.199997,79.310608,3025900
2015-12-07,88.620003,89.459999,85.720001,86.690002,76.224350,5261600
2015-12-08,85.570000,87.430000,85.110001,86.449997,76.013313,3427300
2015-12-09,86.510002,87.849998,85.199997,86.089996,75.696793,2916800
2015-12-10,86.480003,87.550003,85.680000,86.750000,76.277092,2694500
2015-12-11,85.459999,85.910004,82.519997,82.779999,72.786385,4232800
2015-12-14,82.320000,82.830002,80.279999,81.400002,71.572983,5113500
2015-12-15,82.419998,83.300003,81.419998,81.779999,71.907112,5233100
2015-12-16,81.550003,83.400002,81.550003,83.059998,73.032570,3981600
2015-12-17,83.000000,83.339996,81.760002,81.779999,71.907112,3147700
2015-12-18,81.500000,81.779999,79.680000,80.559998,70.834389,6246600
2015-12-21,81.019997,81.269997,79.470001,80.620003,70.887146,2809400
2015-12-22,80.919998,82.279999,80.669998,81.699997,71.836769,2623100
2015-12-23,82.709999,84.849998,82.139999,84.800003,74.562500,3113800
2015-12-24,84.529999,84.980003,83.809998,84.360001,74.175621,1054200
2015-12-28,83.180000,83.559998,81.910004,82.459999,72.505005,1690500
2015-12-29,83.720001,83.870003,82.580002,82.769997,72.777588,1906100
2015-12-30,82.309998,83.410004,81.870003,82.010002,72.109344,1527700
2015-12-31,81.500000,82.410004,81.209999,81.800003,71.924698,2095800
2016-01-04,81.209999,81.889999,79.360001,80.080002,70.412338,3251400
2016-01-05,80.370003,81.190002,80.050003,81.000000,71.221275,2849900
2016-01-06,79.120003,80.000000,77.599998,78.029999,68.609825,4273300
2016-01-07,76.669998,78.110001,75.949997,76.449997,67.220573,6358000
2016-01-08,76.919998,77.180000,75.150002,75.209999,66.130287,6010000
2016-01-11,75.860001,77.510002,74.370003,76.180000,66.983162,4356000
2016-01-12,76.709999,78.379997,76.000000,77.820000,68.425179,5370100
2016-01-13,78.910004,78.930000,74.540001,75.250000,66.165428,6500200
2016-01-14,75.930000,80.080002,74.320000,79.279999,69.708900,5363500
2016-01-15,76.919998,78.599998,76.610001,78.470001,68.996696,5343200
2016-01-19,80.379997,80.639999,77.480003,78.669998,69.172546,4574300
2016-01-20,76.900002,78.209999,75.370003,76.930000,67.642624,5169900
2016-01-21,76.709999,77.230003,75.290001,76.040001,66.860077,4360700
2016-01-22,78.449997,80.900002,77.599998,80.029999,70.368385,4035600
2016-01-25,79.070000,79.739998,76.169998,76.230003,67.027145,4273700
2016-01-26,76.910004,77.800003,76.190002,77.760002,68.372421,3177200
2016-01-27,77.139999,79.769997,76.419998,77.730003,68.346054,4782100
2016-01-28,79.239998,80.000000,77.000000,78.699997,69.198921,5161000
2016-01-29,78.099998,80.230003,75.800003,80.150002,70.473892,7448400
2016-02-01,79.680000,80.660004,77.820000,79.480003,69.884773,4487700
2016-02-02,78.580002,79.440002,77.800003,78.500000,69.023079,4295400
2016-02-03,79.510002,79.940002,76.760002,79.099998,69.550644,7337500
2016-02-04,79.089996,80.919998,78.599998,79.879997,70.236473,5657700
2016-02-05,79.629997,80.480003,77.919998,78.330002,68.873604,4650400
2016-02-08,78.330002,78.330002,73.300003,76.279999,67.071083,7979800
2016-02-09,75.769997,76.620003,74.669998,75.440002,66.332497,4348600
2016-02-10,76.019997,77.099998,74.669998,75.290001,66.200615,5693400
2016-02-11,73.529999,75.040001,71.739998,72.900002,64.579491,7720800
2016-02-12,74.000000,75.320000,73.839996,75.199997,66.616966,4217700
2016-02-16,76.760002,78.279999,75.860001,78.250000,69.318848,5690300
2016-02-17,79.089996,80.889999,78.879997,80.589996,71.391762,4464600
2016-02-18,81.339996,81.750000,78.889999,79.440002,70.373024,4609000
2016-02-19,78.750000,80.180000,78.389999,80.089996,70.948830,3173500
2016-02-22,80.089996,81.419998,80.089996,80.870003,71.639816,3278100
2016-02-23,80.400002,80.610001,78.529999,78.559998,69.593452,3323400
2016-02-24,77.519997,79.150002,77.349998,79.089996,70.062965,3667200
2016-02-25,79.250000,79.330002,77.620003,78.760002,69.770645,3297200
2016-02-26,79.519997,80.190002,78.919998,79.099998,70.071831,2490100
2016-02-29,79.400002,80.379997,78.930000,79.389999,70.328743,3106400
2016-03-01,80.010002,83.790001,79.699997,83.410004,73.889923,6029000
2016-03-02,83.150002,84.639999,82.839996,84.570000,74.917496,3585500
2016-03-03,84.940002,86.580002,84.550003,86.089996,76.264008,3831300
2016-03-04,86.500000,86.599998,84.839996,85.779999,75.989395,2891100
2016-03-07,85.379997,87.830002,85.070000,87.410004,77.433357,3741800
2016-03-08,86.889999,87.750000,84.750000,84.800003,75.121239,3514400
2016-03-09,85.519997,87.230003,85.199997,86.089996,76.264008,3076700
2016-03-10,86.070000,86.070000,84.120003,85.430000,75.679352,2464600
2016-03-11,86.250000,86.730003,85.110001,86.430000,76.565216,2914700
2016-03-14,85.669998,86.500000,85.290001,86.180000,76.343750,2028600
2016-03-15,85.000000,86.669998,84.900002,86.599998,76.715797,2208900
2016-03-16,86.629997,87.900002,86.370003,87.570000,77.575096,2351800
2016-03-17,88.010002,88.660004,86.440002,88.379997,78.292641,2463500
2016-03-18,88.800003,89.650002,88.129997,89.410004,79.205086,5398200
2016-03-21,89.150002,89.959999,89.110001,89.690002,79.453125,2170200
2016-03-22,89.620003,90.870003,89.029999,90.160004,79.869484,2171400
2016-03-23,89.940002,89.940002,87.879997,88.120003,78.062325,2012500
2016-03-24,86.970001,88.120003,86.570000,88.059998,78.009171,2547300
2016-03-28,87.870003,88.129997,87.070000,87.489998,77.504242,2083500
2016-03-29,86.800003,87.730003,86.019997,87.430000,77.451088,1974600
2016-03-30,88.190002,88.610001,86.980003,87.620003,77.619377,1850900
2016-03-31,87.269997,87.809998,86.209999,86.589996,76.706947,2810600
2016-04-01,85.599998,85.959999,84.879997,85.669998,75.891953,2639100
2016-04-04,85.699997,86.660004,85.290001,85.730003,75.945122,1817400
2016-04-05,85.080002,85.690002,84.209999,84.809998,75.130112,2126100
2016-04-06,85.349998,85.620003,83.260002,85.019997,75.316139,3172000
2016-04-07,84.599998,85.019997,83.830002,84.510002,74.864365,1751800
2016-04-08,85.800003,86.809998,85.269997,86.059998,76.237434,2741300
2016-04-11,86.500000,86.849998,84.559998,84.580002,74.926376,2158100
2016-04-12,84.669998,86.089996,84.059998,85.980003,76.166573,2587500
2016-04-13,86.480003,87.099998,85.800003,87.010002,77.079018,2089200
2016-04-14,87.110001,87.629997,86.570000,86.919998,76.999283,1735400
2016-04-15,86.660004,86.660004,84.849998,84.849998,75.165543,2723400
2016-04-18,84.849998,85.730003,83.910004,85.650002,75.874229,2454600
2016-04-19,85.720001,86.500000,85.290001,86.419998,76.556351,1935800
2016-04-20,85.910004,87.209999,84.809998,86.690002,76.795540,2344300
2016-04-21,86.839996,87.650002,86.080002,87.400002,77.424492,2270700
2016-04-22,87.639999,88.459999,87.379997,87.980003,77.938301,2038900
2016-04-25,87.900002,88.239998,86.889999,87.930000,77.894005,1730700
2016-04-26,88.449997,88.849998,87.820000,88.400002,78.310371,1654800
2016-04-27,88.849998,89.309998,88.010002,88.949997,78.797592,2451700
2016-04-28,88.360001,89.059998,87.339996,87.790001,77.769997,3039000
2016-04-29,85.209999,86.029999,81.150002,82.110001,72.738289,7296800
2016-05-02,82.440002,82.500000,79.980003,82.199997,72.818008,4486800
2016-05-03,80.699997,80.980003,79.449997,80.010002,70.877968,4397100
2016-05-04,79.900002,80.389999,78.489998,79.320000,70.266708,2996800
2016-05-05,80.019997,80.820000,78.440002,79.080002,70.054123,2830500
2016-05-06,78.709999,80.180000,78.269997,78.519997,69.558029,3802800
2016-05-09,78.500000,78.529999,76.879997,78.320000,69.380859,3064600
2016-05-10,78.760002,79.690002,78.660004,79.250000,70.204712,2236500
2016-05-11,79.160004,80.360001,78.620003,79.389999,70.328743,2652200
2016-05-12,80.000000,80.099998,77.839996,78.250000,69.318848,2603500
2016-05-13,78.250000,79.139999,77.910004,78.339996,69.398575,3029400
2016-05-16,78.220001,78.800003,77.199997,78.680000,70.264832,3107000
2016-05-17,78.559998,79.300003,78.040001,78.309998,69.934395,2235800
2016-05-18,78.290001,79.480003,77.720001,78.129997,69.773659,2508400
2016-05-19,77.550003,77.959999,76.680000,77.650002,69.345009,2240900
2016-05-20,78.150002,78.459999,77.489998,77.900002,69.568260,2352300
2016-05-23,77.510002,78.629997,77.400002,77.820000,69.496796,2498900
2016-05-24,78.599998,80.000000,78.489998,79.699997,71.175735,3454500
2016-05-25,80.089996,80.470001,79.470001,80.129997,71.559746,2917400
2016-05-26,80.419998,80.599998,79.120003,80.040001,71.479370,3572100
2016-05-27,80.050003,80.800003,79.750000,80.629997,72.006264,2319000
2016-05-31,80.900002,81.080002,79.860001,80.360001,71.765137,5908500
2016-06-01,79.900002,80.959999,79.389999,80.849998,72.202721,3022500
2016-06-02,80.570000,81.430000,80.519997,80.830002,72.184868,2303700
2016-06-03,80.610001,80.889999,79.389999,80.129997,71.559746,2985100
2016-06-06,80.610001,80.769997,80.080002,80.760002,72.122368,2185000
2016-06-07,80.870003,81.580002,80.540001,81.320000,72.622467,2708400
2016-06-08,81.580002,82.419998,81.010002,82.370003,73.560173,3595800
2016-06-09,81.650002,81.889999,80.879997,81.129997,72.452797,3298200
2016-06-10,80.250000,80.660004,79.629997,80.070000,71.506165,2341400
2016-06-13,79.730003,79.940002,78.669998,78.800003,70.371994,3347700
2016-06-14,78.629997,79.339996,77.629997,78.900002,70.461304,2638700
2016-06-15,78.629997,79.970001,78.110001,79.139999,70.675629,2321700
2016-06-16,78.470001,79.570000,78.099998,79.430000,70.934616,1867400
2016-06-17,79.339996,79.459999,78.279999,78.500000,70.104095,4086500
2016-06-20,79.529999,80.239998,78.959999,79.059998,70.604187,2748300
2016-06-21,79.300003,79.580002,78.230003,79.349998,70.863174,2331100
2016-06-22,79.370003,80.300003,79.150002,79.540001,71.032852,1842100
2016-06-23,80.019997,80.870003,79.599998,80.870003,72.220596,2097300
2016-06-24,78.290001,79.739998,78.290001,78.620003,70.211258,6031800
2016-06-27,78.190002,78.519997,76.400002,76.900002,68.675209,3474000
2016-06-28,78.000000,78.790001,77.070000,78.750000,70.327354,2479000
2016-06-29,79.209999,80.010002,79.080002,79.699997,71.175735,2348700
2016-06-30,79.400002,79.489998,77.709999,79.339996,70.854233,3505600
2016-07-01,79.070000,79.910004,78.959999,79.779999,71.247185,2661000
2016-07-05,78.970001,79.320000,77.400002,77.930000,69.595039,3063900
2016-07-06,77.260002,77.330002,74.839996,76.370003,68.201889,5344900
2016-07-07,76.589996,77.099998,73.669998,74.269997,66.326500,6056100
2016-07-08,74.540001,75.470001,74.059998,74.849998,66.844452,4058200
2016-07-11,74.849998,75.580002,74.760002,75.209999,67.165955,2704900
2016-07-12,75.989998,77.190002,75.720001,76.400002,68.228683,3309200
2016-07-13,76.080002,76.510002,74.820000,76.250000,68.094734,3586500
2016-07-14,76.360001,76.809998,76.059998,76.610001,68.416222,2901000
2016-07-15,76.910004,76.910004,75.500000,75.660004,67.567841,2977600
2016-07-18,75.769997,76.070000,75.000000,75.650002,67.558899,2418400
2016-07-19,75.730003,75.940002,75.320000,75.739998,67.639267,2018000
2016-07-20,75.739998,76.019997,75.000000,75.339996,67.282043,2144500
2016-07-21,75.550003,76.169998,74.949997,75.120003,67.085594,2631000
2016-07-22,75.120003,75.400002,74.610001,75.389999,67.326706,1688300
2016-07-25,75.029999,75.120003,73.970001,74.470001,66.505119,3318200
2016-07-26,74.470001,76.300003,74.370003,76.230003,68.076881,2901700
2016-07-27,76.430000,76.870003,75.269997,75.400002,67.335640,3108500
2016-07-28,75.690002,76.379997,75.089996,76.250000,68.094734,4051900
2016-07-29,75.379997,76.160004,73.820000,76.059998,67.925049,5548800
2016-08-01,75.300003,75.629997,74.019997,74.260002,66.317566,3399600
2016-08-02,74.529999,76.330002,74.510002,76.150002,68.005432,4528300
2016-08-03,76.599998,78.739998,76.300003,78.660004,70.246986,4582400
2016-08-04,78.370003,78.830002,77.309998,77.540001,69.246750,2692900
2016-08-05,77.709999,78.610001,77.500000,78.279999,69.907616,1619100
2016-08-08,78.889999,79.519997,78.480003,78.580002,70.175522,2327900
